text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
"In the year to 31 August 2021, the fair value 
gain on the Group’s currency derivatives that are designated and effective as cash flow hedges amounted to £nil (2020: £nil).","In the year to 31 August 2021, the fair value gain on the Group’s currency derivatives that are designated and effective as cash flow hedges amounted to £nil (2020: £nil).",141,43.092705,"currency, hedges, derivatives"
"The Group’s US dollar, Euro and Australian dollar exposure is principally operational and arises mainly through the operation of retail 
stores in North America, France, Ireland, Spain, Germany, Italy and Australia.","The Group’s US dollar, Euro and Australian dollar exposure is principally operational and arises mainly through the operation of retail stores in North America, France, Ireland, Spain, Germany, Italy and Australia.",141,44.341133,exposure
"For hedges that do not result in the recognition of an asset or a 
liability, amounts deferred in equity are recognised in the income 
statement in the same period as the hedged item.","For hedges that do not result in the recognition of an asset or a liability, amounts deferred in equity are recognised in the income statement in the same period as the hedged item.",112,44.976467,hedges
"Items included in the financial statements 
of each of the Group’s subsidiaries are measured using the 
currency of the primary economic environment in which  
the entity operates (‘the functional currency’).",Items included in the financial statements of each of the Group’s subsidiaries are measured using the currency of the primary economic environment in which the entity operates (‘the functional currency’).,110,45.739403,currency
"Gains of £nil (2020: £1m) have been transferred to the income statement and gains of £nil (2020: £1m) have been transferred to 
inventories in respect of contracts that matured during the year ended 31 August 2021.",Gains of £nil (2020: £1m) have been transferred to the income statement and gains of £nil (2020: £1m) have been transferred to inventories in respect of contracts that matured during the year ended 31 August 2021.,141,46.199,contracts
"k) Foreign currencies 
The consolidated financial statements are presented in pounds 
sterling (GBP), which is WH Smith PLC’s functional and 
presentation currency.","k) Foreign currencies The consolidated financial statements are presented in pounds sterling (GBP), which is WH Smith PLC’s functional and presentation currency.",110,46.471382,currencies
"Risk management
The Group’s treasury function seeks to reduce exposures to interest rate, foreign exchange and other financial risks, and to ensure 
liquidity is available to meet the foreseeable needs of the Group and to invest cash assets safely and profitably.","Risk management The Group’s treasury function seeks to reduce exposures to interest rate, foreign exchange and other financial risks, and to ensure liquidity is available to meet the foreseeable needs of the Group and to invest cash assets safely and profitably.",139,46.506645,foreign
"Similarly, sensitivity to movements in USD/GBP, EUR/GBP 
and AUD/GBP exchange rates of ten per cent are shown, reflecting changes of reasonable proportion in the context of movement in 
those currency pairs over time.","Similarly, sensitivity to movements in USD/GBP, EUR/GBP and AUD/GBP exchange rates of ten per cent are shown, reflecting changes of reasonable proportion in the context of movement in those currency pairs over time.",141,47.467594,currency
"At 31 August 2021 
the Group had no material unhedged currency exposures.",At 31 August 2021 the Group had no material unhedged currency exposures.,141,47.54553,currency
"The Group’s principal financial assets are trade and other receivables, and bank balances and cash which are 
considered to have low credit risk on initial recognition.","The Group’s principal financial assets are trade and other receivables, and bank balances and cash which are considered to have low credit risk on initial recognition.",140,47.962296,risk
"Interest rate risk
The Group is exposed to cash flow interest rate risk on floating rate bank loans and overdrafts.",Interest rate risk The Group is exposed to cash flow interest rate risk on floating rate bank loans and overdrafts.,140,48.410397,"risk, rate"
"Transactions denominated in foreign currencies are recorded at 
the rates of exchange prevailing on the dates of the transactions.",Transactions denominated in foreign currencies are recorded at the rates of exchange prevailing on the dates of the transactions.,110,48.85636,"currencies, foreign"
"The Group’s Treasury function seeks to reduce exposures to 
interest rates, foreign exchange and other financial risks,  
to ensure sufficient liquidity is available to meet foreseeable 
needs and to invest cash assets safely and profitably.","The Group’s Treasury function seeks to reduce exposures to interest rates, foreign exchange and other financial risks, to ensure sufficient liquidity is available to meet foreseeable needs and to invest cash assets safely and profitably.",28,48.954052,foreign
"The gross carrying amount of a financial asset is written off 

v) Derivative financial instruments and hedge accounting
The Group uses certain derivative financial instruments to reduce 
its exposure to foreign exchange movements in accordance with 
its risk management policies.",The gross carrying amount of a financial asset is written off v) Derivative financial instruments and hedge accounting The Group uses certain derivative financial instruments to reduce its exposure to foreign exchange movements in accordance with its risk management policies.,112,49.114616,"risk, foreign, exposure, hedge"
"Financial instruments include foreign exchange contracts, deposits and bank loans.","Financial instruments include foreign exchange contracts, deposits and bank loans.",141,49.861095,foreign
