text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
"The Manager is entitled to a monthly 
management fee as at an annual rate of: 
(i) 
 1.5% on the value of the Company’s 
investment assets up to £150m and 

(ii)   1% on the value of such assets in 

excess of £150m.",The Manager is entitled to a monthly management fee as at an annual rate of: (i) 1.5% on the value of the Company’s investment assets up to £150m and (ii) 1% on the value of such assets in excess of £150m.,138,46.79066,rate
"Notes to the Financial Statements

3

Investment Management Fees

Investment 
management fees

Revenue
£’000

23,115
23,115

31 May 2022
Total
£’000

Capital
£’000

–
–

23,115
23,115

Revenue
£’000

 18,544 
18,544 

31 May 2021
Total
£’000

Capital
£’000

–
–

 18,544 
18,544 

The investment management fee is payable monthly in arrears at the rate set out in the 
Directors’ Report on pages 136 and 137.","Notes to the Financial Statements 3 Investment Management Fees Investment management fees Revenue £’000 23,115 23,115 31 May 2022 Total £’000 Capital £’000 – – 23,115 23,115 Revenue £’000 18,544 18,544 31 May 2021 Total £’000 Capital £’000 – – 18,544 18,544 The investment management fee is payable monthly in arrears at the rate set out in the Directors’ Report on pages 136 and 137.",173,47.49725,rate
"In relation to this exposure, if the sterling/dollar and sterling/euro exchange rate had 
reduced by 10% from that obtained at 31 May 2022, it would have the effect, with all other 
variables held constant, of increasing equity shareholders’ funds by £21,936,000 (31 May 
2021: £20,497,000).","In relation to this exposure, if the sterling/dollar and sterling/euro exchange rate had reduced by 10% from that obtained at 31 May 2022, it would have the effect, with all other variables held constant, of increasing equity shareholders’ funds by £21,936,000 (31 May 2021: £20,497,000).",189,47.594578,rate
"Notes to the Financial Statements

20

Analysis of Financial Assets and Liabilities

Non-interest Rate Exposure
The remainder of the Company’s portfolio and current assets are not subject to interest rate risks.",Notes to the Financial Statements 20 Analysis of Financial Assets and Liabilities Non-interest Rate Exposure The remainder of the Company’s portfolio and current assets are not subject to interest rate risks.,188,47.59545,rate
"The Company’s investment 
currency exposure is disclosed in Note 9b.",The Company’s investment currency exposure is disclosed in Note 9b.,189,48.288403,"currency, exposure"
"The calculations are based on the financial assets 
and liabilities and the exchange rate as at 31 May 2022 of 1.26 (31 May 2021: 1.42155)  
sterling/dollar and 1.17625 (31 May 2021: 1.16255) sterling/euro.",The calculations are based on the financial assets and liabilities and the exchange rate as at 31 May 2022 of 1.26 (31 May 2021: 1.42155) sterling/dollar and 1.17625 (31 May 2021: 1.16255) sterling/euro.,189,48.894035,rate
"The Manager monitors the financial  
risks affecting the Company on a daily basis, and the Directors regularly receive financial 
information, which is used to identify and monitor risk.","The Manager monitors the financial risks affecting the Company on a daily basis, and the Directors regularly receive financial information, which is used to identify and monitor risk.",187,49.026672,risks
Includes currency movements on investments.,Includes currency movements on investments.,165,49.351078,currency
"The principal risks the Company faces in its portfolio management activities are:
 – liquidity/marketability risk;
 – interest rate risk;
 – market price risk; and
 – foreign currency risk.",The principal risks the Company faces in its portfolio management activities are: – liquidity/marketability risk; – interest rate risk; – market price risk; and – foreign currency risk.,187,49.464066,"currency, foreign, rate, risks"
"The Manager’s risk management 
system incorporates regular review of the principal risks facing the Company and the 
investment restrictions applicable to the Company.",The Manager’s risk management system incorporates regular review of the principal risks facing the Company and the investment restrictions applicable to the Company.,194,49.839024,"risk, risks"
"Potential impact

Risk management

Outcome for the year

–  Unhedged foreign exchange rate movements could 

impact NAV total returns.",Potential impact Risk management Outcome for the year – Unhedged foreign exchange rate movements could impact NAV total returns.,50,49.92697,"foreign, rate"
