text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
"The rate of exchange 
between the euro and sterling over the year 
ended 30 June 2021 averaged €1.1294 and 
closed at €1.1652.",The rate of exchange between the euro and sterling over the year ended 30 June 2021 averaged €1.1294 and closed at €1.1652.,28,45.99315,rate
"The rate of exchange between the Australian 
dollar and sterling over the year ended 30 
June 2021 averaged AUD 1.8037 and closed  
at AUD 1.8418.",The rate of exchange between the Australian dollar and sterling over the year ended 30 June 2021 averaged AUD 1.8037 and closed at AUD 1.8418.,28,46.26966,rate
"It is the Group’s policy not to seek to 
designate these derivatives as hedges.",It is the Group’s policy not to seek to designate these derivatives as hedges.,72,47.27376,derivatives
"Cash management and foreign exchange risk 
The Group’s cash management policy is to minimise interest payments by closely managing Group cash balances and external borrowings.",Cash management and foreign exchange risk The Group’s cash management policy is to minimise interest payments by closely managing Group cash balances and external borrowings.,79,47.40859,"risk, foreign"
"The Group is exposed to interest rate risk  
on floating rate bank loans and overdrafts.",The Group is exposed to interest rate risk on floating rate bank loans and overdrafts.,29,47.88953,"risk, rate"
"The assets sold are reported at their fair value reflecting  
that the Scheme retains the risks and rewards of ownership of those assets; 

 – The fair value of the forward currency contracts is based on market forward exchange rates at the year-end and determined as the gain  

or loss that would arise if the outstanding contract was matched at the year-end with an equal and opposite contract; and 

 – Swaps represent current value of future cash flows arising from the swap determined using discounted cash flow models and market data  

at the reporting date.",The assets sold are reported at their fair value reflecting that the Scheme retains the risks and rewards of ownership of those assets; – The fair value of the forward currency contracts is based on market forward exchange rates at the year-end and determined as the gain or loss that would arise if the outstanding contract was matched at the year-end with an equal and opposite contract; and – Swaps represent current value of future cash flows arising from the swap determined using discounted cash flow models and market data at the reporting date.,81,47.958866,"currency, contracts, forward, risks"
"The fair market value of the contracts as at 30 June 2021 gave rise to a profit resulting in the presentation of a net derivative asset  
of £nil (2020: £0.1 million) in the Consolidated Balance Sheet.",The fair market value of the contracts as at 30 June 2021 gave rise to a profit resulting in the presentation of a net derivative asset of £nil (2020: £0.1 million) in the Consolidated Balance Sheet.,80,48.868137,contracts
"It is the Group’s policy to limit its exposure to fluctuating 
interest rates by selectively hedging interest rate risk using derivative financial instruments, however there were no interest rate swaps held by 
the Group during the current or prior year.","It is the Group’s policy to limit its exposure to fluctuating interest rates by selectively hedging interest rate risk using derivative financial instruments, however there were no interest rate swaps held by the Group during the current or prior year.",79,49.059647,"risk, swaps, hedging, exposure, rate"
"Interest rate risk
The Group is exposed to interest rate risk on floating rate bank loans and overdrafts.",Interest rate risk The Group is exposed to interest rate risk on floating rate bank loans and overdrafts.,79,49.343857,"risk, rate"
"The decrease 
in the effective tax rate (ETR) reflects the 
Group’s geographical mix of profits, the 
impact of reduced trading losses in certain 
countries and the impact of the partial 
recognition of certain UK deferred tax assets.","The decrease in the effective tax rate (ETR) reflects the Group’s geographical mix of profits, the impact of reduced trading losses in certain countries and the impact of the partial recognition of certain UK deferred tax assets.",29,49.706844,rate
"The financial 
position of the Group, its cash flows and 
liquidity position are described in the Finance 
Director’s Review, with details of the Group’s 
treasury activities, long-term funding 
arrangements and exposure to financial  
risk included in notes 19 and 20 to the 
Consolidated Financial Statements.","The financial position of the Group, its cash flows and liquidity position are described in the Finance Director’s Review, with details of the Group’s treasury activities, long-term funding arrangements and exposure to financial risk included in notes 19 and 20 to the Consolidated Financial Statements.",62,49.92865,"risk, exposure"
